RunID,Iteration,Integrator,Interaction,NumSystems,ParticlesPerSystem,StepsPerRecording,KernelTime_ms,GIPS,MUPS
1763121987165817294,9,Leapfrog,RepulsiveForce,2,256,100,0.025929,503.529,1974.62
1763121987453605138,0,Leapfrog,RepulsiveForce,2,512,100,0.045245,1156.51,2263.23
1763121987453605138,1,Leapfrog,RepulsiveForce,2,512,100,0.031039,1685.83,3299.08
1763121987453605138,2,Leapfrog,RepulsiveForce,2,512,100,0.021821,2397.98,4692.73
1763121987453605138,3,Leapfrog,RepulsiveForce,2,512,100,0.021881,2391.41,4679.86
1763121987453605138,4,Leapfrog,RepulsiveForce,2,512,100,0.017934,2917.72,5709.82
1763121987453605138,5,Leapfrog,RepulsiveForce,2,512,100,0.025448,2056.21,4023.89
1763121987453605138,6,Leapfrog,RepulsiveForce,2,512,100,0.021971,2381.61,4660.69
1763121987453605138,7,Leapfrog,RepulsiveForce,2,512,100,0.020008,2615.27,5117.95
1763121987453605138,8,Leapfrog,RepulsiveForce,2,512,100,0.023193,2256.13,4415.13
1763121987453605138,9,Leapfrog,RepulsiveForce,2,512,100,0.020679,2530.41,4951.88
1763121987751566320,0,Leapfrog,RepulsiveForce,2,1024,100,0.043782,4785.31,4677.72
1763121987751566320,1,Leapfrog,RepulsiveForce,2,1024,100,0.027732,7554.82,7384.97
1763121987751566320,2,Leapfrog,RepulsiveForce,2,1024,100,0.026029,8049.11,7868.15
1763121987751566320,3,Leapfrog,RepulsiveForce,2,1024,100,0.017232,12158.2,11884.9
1763121987751566320,4,Leapfrog,RepulsiveForce,2,1024,100,0.030908,6778.52,6626.12
1763121987751566320,5,Leapfrog,RepulsiveForce,2,1024,100,0.020849,10048.9,9823.01
1763121987751566320,6,Leapfrog,RepulsiveForce,2,1024,100,0.019858,10550.4,10313.2
1763121987751566320,7,Leapfrog,RepulsiveForce,2,1024,100,0.019436,10779.5,10537.1
1763121987751566320,8,Leapfrog,RepulsiveForce,2,1024,100,0.02127,9850.04,9628.58
